"","MAP_LABEL","Num.Stn"
"1","BAFAun",11
"2","BAFAunp",1
"3","BGxh1",49
"4","BGxh2",37
"5","BGxh3",4
"6","BGxw1",18
"7","BGxw2",8
"8","BWBSdk",69
"9","BWBSmk",47
"10","BWBSmw",153
"11","BWBSwk1",17
"12","BWBSwk2",10
"13","BWBSwk3",1
"14","CDFmm",242
"15","CMAun",6
"16","CMAunp",14
"17","CWHdm",200
"18","CWHds1",33
"19","CWHds2",3
"20","CWHmm1",9
"21","CWHmm2",10
"22","CWHms1",32
"23","CWHms2",2
"24","CWHvh1",55
"25","CWHvh2",61
"26","CWHvh3",20
"27","CWHvm1",182
"28","CWHvm2",32
"29","CWHwh1",55
"30","CWHwh2",3
"31","CWHwm",14
"32","CWHws1",26
"33","CWHws2",19
"34","CWHxm1",235
"35","CWHxm2",97
"36","ESSFdc1",2
"37","ESSFdc2",8
"38","ESSFdc3",6
"39","ESSFdcp",2
"40","ESSFdcw",5
"41","ESSFdk1",18
"42","ESSFdk2",21
"43","ESSFdkp",3
"44","ESSFdkw",10
"45","ESSFdv1",2
"46","ESSFdv2",4
"47","ESSFdvp",3
"48","ESSFdvw",2
"49","ESSFmc",28
"50","ESSFmh",5
"51","ESSFmk",4
"52","ESSFmkp",1
"53","ESSFmm1",9
"54","ESSFmmp",4
"55","ESSFmv1",5
"56","ESSFmv2",24
"57","ESSFmv3",6
"58","ESSFmv4",4
"59","ESSFmvp",6
"60","ESSFmw",5
"61","ESSFmw1",1
"62","ESSFmw2",1
"63","ESSFun",4
"64","ESSFunp",1
"65","ESSFvc",11
"66","ESSFvcw",4
"67","ESSFwc2",7
"68","ESSFwc3",13
"69","ESSFwc4",5
"70","ESSFwcp",14
"71","ESSFwcw",11
"72","ESSFwh1",6
"73","ESSFwh3",2
"74","ESSFwk1",9
"75","ESSFwk2",12
"76","ESSFwm",8
"77","ESSFwm1",4
"78","ESSFwm3",2
"79","ESSFwm4",4
"80","ESSFwmw",5
"81","ESSFwv",3
"82","ESSFwvp",3
"83","ESSFxc1",3
"84","ESSFxc2",1
"85","ESSFxc3",1
"86","ESSFxcp",1
"87","ESSFxv1",8
"88","ESSFxvp",9
"89","ICHdk",2
"90","ICHdm",6
"91","ICHdw1",42
"92","ICHdw3",13
"93","ICHdw4",17
"94","ICHmc1",17
"95","ICHmc2",44
"96","ICHmk1",7
"97","ICHmk2",3
"98","ICHmk3",5
"99","ICHmk4",15
"100","ICHmm",13
"101","ICHmw1",10
"102","ICHmw2",16
"103","ICHmw3",28
"104","ICHmw5",1
"105","ICHvc",4
"106","ICHvk1",6
"107","ICHvk2",7
"108","ICHwc",5
"109","ICHwk1",32
"110","ICHwk2",8
"111","ICHwk3",11
"112","ICHwk4",1
"113","ICHxw",46
"114","ICHxwa",4
"115","IDFdc",5
"116","IDFdk1",31
"117","IDFdk2",18
"118","IDFdk3",63
"119","IDFdk4",19
"120","IDFdk5",9
"121","IDFdm1",15
"122","IDFdm2",29
"123","IDFdw",12
"124","IDFmw1",25
"125","IDFmw2",26
"126","IDFww",12
"127","IDFww1",1
"128","IDFxc",6
"129","IDFxh1",57
"130","IDFxh2",48
"131","IDFxh4",6
"132","IDFxk",11
"133","IDFxm",28
"134","IDFxw",2
"135","IMAun",5
"136","IMAunp",2
"137","MHmm1",35
"138","MHmm2",16
"139","MHmmp",6
"140","MHwh",1
"141","MHwh1",1
"142","MSdc1",4
"143","MSdc2",1
"144","MSdc3",1
"145","MSdk1",42
"146","MSdk2",28
"147","MSdm1",17
"148","MSdm2",7
"149","MSdm3",5
"150","MSmw2",1
"151","MSun",1
"152","MSxk1",6
"153","MSxk2",8
"154","MSxk3",3
"155","MSxv",5
"156","PPdh2",15
"157","PPxh1",158
"158","PPxh2",38
"159","PPxh3",8
"160","SBPSdc",10
"161","SBPSmc",6
"162","SBPSmk",6
"163","SBPSxc",44
"164","SBSdh1",17
"165","SBSdh2",3
"166","SBSdk",96
"167","SBSdw1",23
"168","SBSdw2",20
"169","SBSdw3",37
"170","SBSmc1",4
"171","SBSmc2",89
"172","SBSmc3",4
"173","SBSmh",18
"174","SBSmk1",41
"175","SBSmk2",13
"176","SBSmm",2
"177","SBSmw",7
"178","SBSun",1
"179","SBSvk",21
"180","SBSwk1",31
"181","SBSwk2",28
"182","SBSwk3",6
"183","SWBmk",26
"184","SWBmks",9
"185","SWBun",6
"186","SWBuns",2
"187","SWBvk",1
"188",NA,12
